Name,Treble,Author,Date,Website,Folder,Download link,XDA link,Telegram link,4PDA post link
Lineage,,vedat,2017-07-28,xiaomifirmware.com/roms/download-lineageos-14-1-rom-redmi-4x,,xiaomifirmware.com/download-link/?dlm-dp-dl=4197,,,4pda.ru/forum/index.php?act=findpost&pid=72202177
Legend,,Abhiraj Singh,2017-09-28,,,androidfilehost.com/?fid=673791459329049353,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3678579,,4pda.ru/forum/index.php?act=findpost&pid=71826557
Legend,,avirk,2017-08-21,,,androidfilehost.com/?fid=889764386195924276,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3660380,,
Mokee,,silent27,2017-11-30,,drive.google.com/drive/folders/0BzeDfWfSn7lxQUdmeXJaWnhQdWs,drive.google.com/uc?id=1BTr6nS70V6BFof7Ww3P_YoSAM0P-u8_9&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=64767902
Mokee,,Tingyi Chen,2019-02-28,mokeedev.com,download.mokeedev.com/santoni/history.html,download.mokeedev.com/santoni/file/MK71.2-santoni-190228-HISTORY.zip/download,,t.me/mokeecommunity,4pda.ru/forum/index.php?act=findpost&pid=65680907
Nuclea,,silent27,2017-12-24,,drive.google.com/drive/folders/1W6DWHO1n_iZt_phBDK9a0CGNfcHOBkR1,drive.google.com/uc?id=1N1BY2F0f2aUn61PWIYyUj8aHp3zWT3p_&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=66887116
Oct,,ataberkozen,2017-08-02,,,mega.nz/file/jNQhlZzT#bLgaoo75DzEXIODBjFyVPVygEQztMTDCS_l_FTcb9iQ,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3650594,,4pda.ru/forum/index.php?act=findpost&pid=69410407
Omni,,Abhiraj Singh,2017-11-18,,,androidfilehost.com/?fid=673791459329062410,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3706844,,4pda.ru/forum/index.php?act=findpost&pid=71827810
Pixel,,mgeranimus,2017-12-23,,,yadi.sk/d/fj9cGz-L3RmeQw,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3700153,,4pda.ru/forum/index.php?act=findpost&pid=69598330
AOSPA,,nik01,2017-10-30,,,androidfilehost.com/?fid=962021903579488850,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3696813,,4pda.ru/forum/index.php?act=findpost&pid=66501424
Resurrection Remix,,8224Freak,2018-06-29,luis-builds.de,www.luis-builds.de/downloads/lineageos/rr/Xiaomi_Redmi_4X_(santoni),www.luis-builds.de/downloads/lineageos/rr/Xiaomi_Redmi_4X_(santoni)/RR-N-v5.8.5-20180629-santoni-Luis.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3706456,t.me/rr_luisrom,4pda.ru/forum/index.php?act=findpost&pid=67393773
Resurrection Remix,,silent27,2018-01-18,,drive.google.com/drive/folders/0BzeDfWfSn7lxcU5laDBXeWxlaVE,drive.google.com/uc?id=1--HSJRijKHBZ9amGq1vPM2xOHBNxVq0z&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=63943396
Resurrection Remix,,noticemeesenpai,2018-10-07,,,drive.google.com/uc?id=1DIj5BkmBqvSZMjzirLECDUs2Ue6TFdnJ&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=77868688
Viper,,twsunset,2019-11-13,,,drive.google.com/uc?id=1-3AGQkXPB3i8SppMwCn46KBbJML2F--K&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=90831806
Viper,,herh2,2018-10-29,,drive.google.com/drive/folders/1KBfvzts_MgTd_eDeJSbAZWiX0LRzwxe_,drive.google.com/uc?id=1TC71dXQ2Z2-Cw2EiRLpZUY6PZZvYnbXH&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=75684295
Viper,,avirk,2017-12-17,,,androidfilehost.com/?fid=817906626617953190,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3650108,t.me/viperosnews,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3650108
Viper,,Bikram_M,2019-04-30,sourceforge.net/projects/bikram-project,sourceforge.net/projects/bikram-project/files/Nougat/ViperOS,download.sourceforge.net/bikram-project/Viper-santoni-20190430-Coral-v3.1.1-OFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=80414048
Viper,,Abhiraj Singh,2017-08-20,,,drive.google.com/uc?id=0B-LeN9Fc9F_adVAxdU80bW54Qms&export=download,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3660070,,4pda.ru/forum/index.php?act=findpost&pid=63699690
Viper,,Vei_Sons,2018-10-30,,,drive.google.com/uc?id=1-6Frs3Co5Q-WLULuW9zcohJdG2yV3_y5&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=78451326
Tipsy,,Abhiraj Singh,2017-08-30,,,androidfilehost.com/?fid=817550096634795892,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3664748,,4pda.ru/forum/index.php?act=findpost&pid=69263028
XPerience,,Team Mex,2018-01-09,sourceforge.net/projects/xperience-aosp,sourceforge.net/projects/xperience-aosp/files/santoni/11/nightly,download.sourceforge.net/xperience-aosp/XPerience-11.1.2-20180109-NIGHTLY-santoni.zip,forum.xda-developers.com/android/general/-t3650832#post73269185,,4pda.ru/forum/index.php?act=findpost&pid=67515470
XenonHD,,twsunset,2019-11-14,,,drive.google.com/uc?id=124qL52z9BMmi-9i0pmm6gb6xfnWZorxM&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=90872919
XenonHD,,mayu19,2017-10-14,,,androidfilehost.com/?fid=889964283620758370,,,
XenonHD,,thatforeveraloneguy,2018-01-30,,,androidfilehost.com/?fid=890129502657579479,,,4pda.ru/forum/index.php?act=findpost&pid=69814971
XOSP,,XOSP Team,2017-07-29,,,mega.nz/#!PEIBCAgB!temG7nUCIZ9nYn849BCpFM7zTULQ22YHOAQL1tZXQPM,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3651115,,4pda.ru/forum/index.php?act=findpost&pid=67181093
